episodeId,bookmarkPosition,displayRuntime,runtime,title,availability.isPlayable,availability.availabilityDate,availability.availabilityStartTime,availability.unplayableCause,contextualSynopsis.text,contextualSynopsis.evidenceKey,interestingMoment._342x192.webp.$type,interestingMoment._342x192.webp.value.width,interestingMoment._342x192.webp.value.height,interestingMoment._342x192.webp.value.url,interestingMoment._342x192.webp.value.image_key,summary.type,summary.unifiedEntityId,summary.id,summary.isOriginal,summary.liveEvent.hasLiveEvent,summary.idx,summary.episode,summary.season,summary.isPlayable
80077368,123,2966,2966,Chapter One: The Vanishing of Will Byers,True,July 15,1468591200000,,"On his way home from a friend's house, young Will sees something terrifying. Nearby, a sinister secret lurks in the depths of a government lab.",web_synopsis|80077368_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABUeawyJp01S5zKbXn4myjXC-Zjnswbldv61MCjK4anxtIC55X3sSad9VzVbiHFf-PewzcnJZ8DFbH-90r9iXObyzQsUDuVKW2aNJatiWIyiLoHNTcBvA8bQd.jpg?r=d74,MERCH_STILL|01994da0-7ec5-11e6-8984-0ed4190bdb1f|en,episode,Video:80077368,80077368,True,False,1,1,1,True
80077369,-1,3376,3376,Chapter Two: The Weirdo on Maple Street,True,July 15,1468591200000,,"Lucas, Mike and Dustin try to talk to the girl they found in the woods. Hopper questions an anxious Joyce about an unsettling phone call.",web_synopsis|80077369_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABRLKKpt9utEJ3bu-E-TonM1hQllvHQNILHJSiLweBAnzNMNrLNbEmpr4qJknXFZTeCuWWZffCHF6hJ-kTzJOkuhpXAy7kS3_zgLEkZqcbQLgeue1ihK5FMLI.jpg?r=cc9,MERCH_STILL|05c962c0-7ec5-11e6-8984-0ed4190bdb1f|en,episode,Video:80077369,80077369,True,False,2,2,1,True
80077370,-1,3163,3163,"Chapter Three: Holly, Jolly",True,July 15,1468591200000,,An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.,web_synopsis|80077370_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABaTxc1HToU6ZkVKAaFUtUCWIU65fPnXtG2KpFswzdApZliicw9YGxHZ3kHaqhmxSz5VC1e4Xfs0z3GtD2-iMqmZhzgjQcqG-HdKpEbVd2Yn9m2tgHaspBuK_.jpg?r=8da,MERCH_STILL|07aa09a0-7ec5-11e6-8eea-0a28cd8f7a9f|en,episode,Video:80077370,80077370,True,False,3,3,1,True
80077371,-1,3079,3079,Chapter Four: The Body,True,July 15,1468591200000,,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Nancy and Jonathan form an unlikely alliance.",web_synopsis|80077371_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABfMEB7L1y4rwvAIbzmJb1f4YZsRcUm-YURZkt3NzlAy7V8rQ41f6fivkRd8xH9NGcd-3pVOW2OsLRR874bsEMl6DSG6Bo9lh1SkaaD3Y2HiiN8XJFY2FiXWV.jpg?r=6ad,MERCH_STILL|089469a0-7ec5-11e6-9bbe-0e6b5a566dd7|en,episode,Video:80077371,80077371,True,False,4,4,1,True
80077372,-1,3230,3230,Chapter Five: The Flea and the Acrobat,True,July 15,1468591200000,,Hopper breaks into the lab while Nancy and Jonathan confront the force that took Will. The boys ask Mr. Clarke how to travel to another dimension.,web_synopsis|80077372_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABZ4T59nVRHKS1lBQUe5oXuUMVcqOglLZlGxCI57zIzrhId0EzwY4bIFHBSARfv2TzlzBhniSh33c01wdNVMvLnWb6N-lgr4KC8GU356ZHKvVc-van_0g2Pqh.jpg?r=6d4,MERCH_STILL|0a1675c0-7ec5-11e6-b391-0a77d1264d25|en,episode,Video:80077372,80077372,True,False,5,5,1,True
80077373,-1,2855,2855,Chapter Six: The Monster,True,July 15,1468591200000,,"A frantic Jonathan looks for Nancy in the darkness, but Steve's looking for her, too. Hopper and Joyce uncover the truth about the lab's experiments.",web_synopsis|80077373_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABX4FAZAhZD3EOWlQaXlNFFcF3YfOE5Kiwk_LMIvQW3yNGpLB7sE8EeaXyurr-e9Sr1bhlOL75_FevIJM36OwAD4JnD7AUmPihaqsnJXq9vCxN9OBTcpEGJ2Z.jpg?r=3df,MERCH_STILL|0d9da0b0-7ec5-11e6-9bbe-0e6b5a566dd7|en,episode,Video:80077373,80077373,True,False,6,6,1,True
80077374,-1,2573,2573,Chapter Seven: The Bathtub,True,July 15,1468591200000,,"Eleven struggles to reach Will, while Lucas warns that ""the bad men are coming."" Nancy and Jonathan show the police what Jonathan caught on camera.",web_synopsis|80077374_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABXHqLIyON0lOv29X503rTBy3dNqUbGZkFszbeSr6_PzVwkxIbq5x9oqb_j24n3kuabSP9Z-H2GEYT2mR1ad1J3oYipFjsOF_S3J9NfOVkn9PUYMDMwS-8KNd.jpg?r=779,MERCH_STILL|0fb29e00-7ec5-11e6-9cc6-0e0ad3bea79f|en,episode,Video:80077374,80077374,True,False,7,7,1,True
80077375,1469,3336,3336,Chapter Eight: The Upside Down,True,July 15,1468591200000,,"Dr. Brenner holds Hopper and Joyce for questioning while the boys wait with Eleven in the gym. Back at Will's, Nancy and Jonathan prepare for battle.",web_synopsis|80077375_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABdohkeQ3STKKDbuvwQ14hgTXfCqkyWycQsaaWVfHSeDsB8drZ05mOzjQDAXQOAWSFSQeqsCs6mxfuEh8BHkP8483zUGcAaCiNCtr_8a9rbgCccTqEtWPAC52.jpg?r=4b6,MERCH_STILL|11b524c0-7ec5-11e6-81d2-12a747d0eca5|en,episode,Video:80077375,80077375,True,False,8,8,1,True
